ͷʵ,ͷʵ,βʵ,βʵ,ϵ,ıս,,Ѳ,,ʹ,սЯѲִ
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
X型飞机,航空器,平尾承力布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,前机身承力构建布置数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
X型飞机,航空器,外形数模,数学模型,参考,在X型飞机的设计建模过程中，涉及到平尾承力布置数模、前机身承力构建布置数模、外形数模等多种数学模型。
平尾承力布置数模,数学模型,18D-WXSM-B-121,参考文档,参考,其中，平尾承力布置数模的设计按照标准《18D-WXSM-B-121》执行。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
战斗机,航空器,维修时间,性能指标,性能指标,战斗机的维修时间大约半个月左右。
X型飞机,航空器,IO868-P-90,参考文档,参考,X型飞机的设计采用《IO868-P-90》标准。
战斗机,航空器,巡航导弹,武器,使用,战斗机往往携带巡航导弹执行任务。
